notif_no,product,holder,manufacturer,substance_detected,Description,status
NOT200603276K,Deluxe Beauty - Ultra Lightening Cream Pearl Perfect Fairness,Luna Group Sdn. Bhd.,Royal International.,Mercury,"【MERCURY】Ingredient's risk: Toxic heavy metal that damages kidneys, nervous system, and brain. Can cause tremors, memory loss, and kidney failure. Common uses: Illegally used in skin lightening and whitening products for quick results. Banned / monitored: Completely banned in cosmetics worldwide due to severe toxicity and bioaccumulation in human body.",False
NOT180503436K,3Rd Series Yanko Fade Out Cream Day Cream,Lurveya Sdn. Bhd.,"Taiwan Biotech Co., Ltd.",Mercury,"【MERCURY】Ingredient's risk: Toxic heavy metal that damages kidneys, nervous system, and brain. Can cause tremors, memory loss, and kidney failure. Common uses: Illegally used in skin lightening and whitening products for quick results. Banned / monitored: Completely banned in cosmetics worldwide due to severe toxicity and bioaccumulation in human body.",False
NOT180503437K,3Rd Series Yanko Whitening Cream Night Cream,Lurveya Sdn. Bhd.,"Taiwan Biotech Co., Ltd.",Tretnon,"【TRETINOIN】Ingredient's risk: Severe skin irritation, increased sun sensitivity, birth defects if used during pregnancy. Can cause peeling, redness, and chemical burns. Common uses: Acne treatment, anti-aging and wrinkle reduction creams. Banned / monitored: Prescription-only medication in most countries, not allowed in over-the-counter cosmetics.",False
NOT180503439K,5Th Series Yanko Fade Out Cream Day Cream,Lurveya Sdn. Bhd.,"Taiwan Biotech Co., Ltd.",Mercury,"【MERCURY】Ingredient's risk: Toxic heavy metal that damages kidneys, nervous system, and brain. Can cause tremors, memory loss, and kidney failure. Common uses: Illegally used in skin lightening and whitening products for quick results. Banned / monitored: Completely banned in cosmetics worldwide due to severe toxicity and bioaccumulation in human body.",False
NOT180503440K,5Th Series Yanko Whitening Cream Night Cream,Lurveya Sdn. Bhd.,"Taiwan Biotech Co., Ltd.",Tretnon,"【TRETINOIN】Ingredient's risk: Severe skin irritation, increased sun sensitivity, birth defects if used during pregnancy. Can cause peeling, redness, and chemical burns. Common uses: Acne treatment, anti-aging and wrinkle reduction creams. Banned / monitored: Prescription-only medication in most countries, not allowed in over-the-counter cosmetics.",False
NOT180503441K,7Th Series Yanko Whitening Cream Day,Lurveya Sdn. Bhd.,"Taiwan Biotech Co., Ltd.",Mercury,"【MERCURY】Ingredient's risk: Toxic heavy metal that damages kidneys, nervous system, and brain. Can cause tremors, memory loss, and kidney failure. Common uses: Illegally used in skin lightening and whitening products for quick results. Banned / monitored: Completely banned in cosmetics worldwide due to severe toxicity and bioaccumulation in human body.",False
NOT180503442K,7Th Series Yanko Whitening Cream Night,Lurveya Sdn. Bhd.,"Taiwan Biotech Co., Ltd.",Tretnon,"【TRETINOIN】Ingredient's risk: Severe skin irritation, increased sun sensitivity, birth defects if used during pregnancy. Can cause peeling, redness, and chemical burns. Common uses: Acne treatment, anti-aging and wrinkle reduction creams. Banned / monitored: Prescription-only medication in most countries, not allowed in over-the-counter cosmetics.",False
NOT221004660K,Abyra Seaweed Skin Care- Seaweed Cell Renewal Night Cream,Abyra Star Empire,"Neocosmed Co., Ltd",Mercury,"【MERCURY】Ingredient's risk: Toxic heavy metal that damages kidneys, nervous system, and brain. Can cause tremors, memory loss, and kidney failure. Common uses: Illegally used in skin lightening and whitening products for quick results. Banned / monitored: Completely banned in cosmetics worldwide due to severe toxicity and bioaccumulation in human body.",False
NOT181003521K,Ailisi Acne Purifying Cream,Ai Li Si Beauty Enterprise,"Taiwan Ladies Cosmetics Co., Ltd.",Clindamycin,"【CLINDAMYCIN】Ingredient's risk: Contributes to antibiotic resistance, can cause severe diarrhea and colitis, allergic reactions. Common uses: Topical acne treatment products. Banned / monitored: Prescription-only antibiotic, not allowed in cosmetic products without medical oversight.",False
NOT220202802K,Airee Beautycare Night Cream,Evoniz Cosmetic Industries,Yamni Industry,Mercury,"【MERCURY】Ingredient's risk: Toxic heavy metal that damages kidneys, nervous system, and brain. Can cause tremors, memory loss, and kidney failure. Common uses: Illegally used in skin lightening and whitening products for quick results. Banned / monitored: Completely banned in cosmetics worldwide due to severe toxicity and bioaccumulation in human body.",False
