notif_no,substance_detected
NOT200603276K,Mercury
NOT180503436K,Mercury
NOT180503437K,Tretnon
NOT180503439K,Mercury
NOT180503440K,Tretnon
NOT180503441K,Mercury
NOT180503442K,Tretnon
NOT221004660K,Mercury
NOT181003521K,Clindamycin
NOT220202802K,Mercury
NOT170600522K,Hydroquinone
NOT170801150K,Mercury
NOT190904416K,Steroid
NOT200205124K,Mercury
NOT170804496K,Mercury
NOT151204804K,Mercury
NOT180103663K,Diphenhydramine
NOT180202851K,Diphenhydramine
NOT191200526K,Hydroquinone
NOT191200526K,Tretinoin
NOT201107589K,Hydroquinone
NOT201107589K,Tretinoin
NOT201107589K,Steroid
NOT190900489K,Hydroquinone
NOT190900489K,Tretinoin
NOT190907469K,Hydroquinone
NOT190907469K,Tretinoin
NOT220707389K,Mercury
NOT200604601K,Mercury
NOT220601259K,Hydroquinone
NOT220601259K,Tretinoin
NOT190200461K,Mercury
NOT190200462K,Mercury
NOT190806808K,Hydroquinone
NOT190806808K,Tretinoin
NOT190808060K,Tretnon
NOT211005337K,Methyl salicylate
NOT221102979K,Menthol
NOT221102979K,Methyl salicylate
NOT221102979K,Thymol
NOT180802788K,Trimethoprim
NOT180802788K,Sulfamethoxazole
NOT180802788K,Ketoconazole
NOT180802788K,Chloramphenicol
NOT180802789K,Sulfamethoxazole
NOT180802789K,Chlorpheniramine
NOT180802789K,Metronidazole
NOT180802789K,Trimethoprim
NOT180802789K,Griseofulvin
NOT220501104K,Miconazole
NOT191203847K,Steroid
NOT191203847K,Mercury
NOT171004771K,Tretnon
NOT171004771K,Hydroquinone
NOT190108080K,Hydroquinone
NOT180105344K,Mercury
NOT181002913K,Hydroquinone
NOT181002913K,Steroid
NOT181002911K,Steroid
NOT181002912K,Mercury
NOT180104881K,Mercury
NOT160802315K,Hydroquinone
NOT160802315K,Tretnon
NOT190506522K,Hydroquinone
NOT180104880K,Hydroquinone
NOT180104880K,Tretinoin
NOT131006026K,Mercury
NOT171200081K,Hydroquinone
NOT171200081K,Tretinoin
NOT180205661K,Mercury
NOT220301718K,Mercury
NOT220301716K,Hydroquinone
NOT220301717K,Mercury
NOT211002945K,Hydroquinone
NOT211002945K,Tretinoin
NOT211002945K,Steroid
NOT220504138K,Isopropyl alcohol
NOT190708278K,Steroid
NOT190708278K,Mercury
NOT170900717K,Mercury
NOT240201187K,Steroid
NOT240201187K,Mercury
NOT240201186K,Hydroquinone
NOT240201186K,Tretinoin
NOT210305182K,Steroid
NOT210305183K,Mercury
NOT170201663K,Mercury
NOT170806887K,Mercury
NOT181006812K,Mercury
NOT210604359K,Miconazole
NOT230903286K,Mercury
NOT210701629K,Hydroquinone
NOT210701629K,Tretinoin
NOT160300509K,Mercury
NOT220903606K,Mercury
NOT220903606K,Steroid
NOT160300410K,Mercury
NOT160300556K,Hydroquinone
NOT160300556K,Tretinoin
NOT171003557K,Mercury
NOT190107639K,Hydroquinone
NOT200306590K,Mercury
NOT170200716K,Tretnon
NOT170200716K,Hydroquinone
NOT170200716K,Mercury
NOT201004624K,Hydroquinone
NOT160506024K,Mercury
NOT170204393K,Tretnon
NOT170204393K,Hydroquinone
NOT200901749K,Mercury
NOT190605136K,Mercury
NOT150903694K,Mercury
NOT200405779K,Tretinoin
NOT200405779K,Hydroquinone
NOT200405779K,Steroid
NOT220102940K,Mercury
NOT200704119K,Mercury
NOT150900193K,Mercury
NOT140304146K,Hydroquinone
NOT140304146K,Tretinoin
NOT190702019K,Mercury
NOT220106011K,Tretinoin
NOT220106011K,Steroid
NOT220106011K,Hydroquinone
NOT170402517K,Mercury
NOT150501310K,Mercury
NOT180705530K,Mercury
NOT210605524K,Mercury
NOT210302928K,Mercury
NOT191103319K,Metronidazole
NOT230202916K,Azelaic acid
NOT210700039K,Mercury
NOT200706569K,Hydroquinone
NOT200706569K,Steroid
NOT221003358K,Mercury
NOT180901024K,Mercury
NOT180901024K,Steroid
NOT180901005K,Mercury
NOT201003378K,Mercury
NOT170303016K,Mercury
NOT170505954K,Hydroquinone
NOT170505954K,Tretinoin
NOT171202673K,Mercury
NOT211004813K,Mercury
NOT200800620K,Hydroquinone
NOT200800620K,Tretinoin
NOT190107782K,Sulfamethoxazole
NOT190107782K,Ketoconazole
NOT190107782K,Chloramphenicol
NOT190107782K,Trimethoprim
NOT180706781K,Hydroquinone
NOT170203545K,Hydroquinone
NOT220503570K,Isopropyl alcohol
NOT220605474K,Mercury
NOT190906503K,Mercury
NOT200706378K,Nan
NOT200706384K,Nan
NOT200706392K,Nan
NOT220707665K,Nan
NOT220707660K,Nan
NOT220707668K,Nan
NOT220707669K,Nan
NOT220707670K,Nan
NOT220707699K,Nan
NOT220707700K,Nan
NOT220707701K,Nan
NOT220707874K,Nan
NOT220707875K,Nan
NOT220707830K,Nan
NOT180705975K,Nan
NOT220707734K,Nan
NOT220707847K,Nan
NOT200706398K,Nan
NOT220707748K,Nan
NOT200706397K,Nan
NOT220707853K,Nan
NOT220707864K,Nan
NOT220707826K,Nan
NOT220707695K,Nan
NOT220707858K,Nan
NOT220707698K,Nan
NOT220707859K,Nan
NOT200706393K,Nan
NOT200706383K,Nan
NOT220707667K,Nan
NOT200706391K,Nan
NOT220707666K,Nan
NOT220707675K,Nan
NOT220707674K,Nan
NOT220707786K,Nan
NOT220707787K,Nan
NOT220707789K,Nan
NOT220707791K,Nan
NOT220707792K,Nan
NOT220707793K,Nan
NOT220707794K,Nan
NOT220707795K,Nan
NOT220707796K,Nan
NOT220707797K,Nan
NOT220707798K,Nan
NOT220707860K,Nan
NOT220707800K,Nan
NOT220707608K,Nan
NOT220707609K,Nan
NOT220707619K,Nan
NOT220707610K,Nan
NOT220707611K,Nan
NOT220707626K,Nan
NOT220707612K,Nan
NOT220707614K,Nan
NOT220707615K,Nan
NOT220707616K,Nan
NOT220707617K,Nan
NOT220707606K,Nan
NOT220707607K,Nan
NOT220707806K,Nan
NOT220707873K,Nan
NOT200706376K,Nan
NOT220707735K,Nan
NOT200706377K,Nan
NOT220707849K,Nan
NOT220707850K,Nan
NOT220707857K,Nan
NOT220707825K,Nan
NOT220707824K,Nan
NOT220707823K,Nan
NOT220707822K,Nan
NOT220707821K,Nan
NOT220707820K,Nan
NOT220707819K,Nan
NOT220707818K,Nan
NOT220707816K,Nan
NOT220707802K,Nan
NOT220707814K,Nan
NOT220707812K,Nan
NOT220707810K,Nan
NOT180706137K,Nan
NOT220707878K,Nan
NOT220707809K,Nan
NOT220707877K,Nan
NOT180705962K,Nan
NOT220707876K,Nan
NOT180705987K,Nan
NOT220707808K,Nan
NOT220707804K,Nan
NOT220707807K,Nan
NOT220707848K,Nan
NOT220707846K,Nan
NOT220707856K,Nan
NOT220707705K,Nan
NOT220707733K,Nan
NOT220707732K,Nan
NOT220707731K,Nan
NOT220707730K,Nan
NOT220707843K,Nan
NOT220707729K,Nan
NOT220707728K,Nan
NOT220707726K,Nan
NOT220707725K,Nan
NOT220707723K,Nan
NOT220707722K,Nan
NOT220707721K,Nan
NOT220707719K,Nan
NOT220707865K,Nan
NOT220707718K,Nan
NOT220707716K,Nan
NOT220707727K,Nan
NOT220707713K,Nan
NOT220707715K,Nan
NOT220707866K,Nan
NOT220707712K,Nan
NOT220707711K,Nan
NOT220707710K,Nan
NOT220707709K,Nan
NOT220707708K,Nan
NOT220707855K,Nan
NOT220707707K,Nan
NOT220707706K,Nan
NOT220707717K,Nan
NOT220707872K,Nan
NOT220707805K,Nan
NOT220707672K,Nan
NOT220707760K,Nan
NOT220707758K,Nan
NOT200706343K,Nan
NOT200706344K,Nan
NOT200706406K,Nan
NOT200706345K,Nan
NOT200706346K,Nan
NOT200706395K,Nan
NOT200706347K,Nan
NOT200706348K,Nan
NOT200706349K,Nan
NOT200706350K,Nan
NOT200706351K,Nan
NOT220707671K,Nan
NOT220707762K,Nan
NOT200706405K,Nan
NOT200706404K,Nan
NOT200706353K,Nan
NOT200706354K,Nan
NOT200706355K,Nan
NOT200706403K,Nan
NOT200706356K,Nan
NOT220707871K,Nan
NOT200706358K,Nan
NOT200706372K,Nan
NOT200706402K,Nan
NOT200706359K,Nan
NOT200706360K,Nan
NOT220707868K,Nan
NOT200706361K,Nan
NOT200706352K,Nan
NOT200706362K,Nan
NOT220707764K,Nan
NOT200706342K,Nan
NOT200706367K,Nan
NOT200706369K,Nan
NOT200706370K,Nan
NOT220707702K,Nan
NOT220707749K,Nan
NOT200706390K,Nan
NOT220707750K,Nan
NOT220707751K,Nan
NOT200706389K,Nan
NOT200706375K,Nan
NOT200706374K,Nan
NOT200706388K,Nan
NOT200706387K,Nan
NOT220707636K,Nan
NOT220707766K,Nan
NOT220707679K,Nan
NOT200706409K,Nan
NOT220707683K,Nan
NOT220707685K,Nan
NOT200706379K,Nan
NOT200706380K,Nan
NOT200706408K,Nan
NOT200706407K,Nan
NOT220707867K,Nan
NOT200706396K,Nan
NOT200706338K,Nan
NOT200706339K,Nan
NOT200706340K,Nan
NOT220707673K,Nan
NOT200706341K,Nan
NOT220707681K,Nan
NOT200706401K,Nan
NOT200706357K,Nan
NOT200706420K,Nan
NOT220707831K,Nan
NOT200706399K,Nan
NOT220707772K,Nan
NOT220707827K,Nan
NOT220707773K,Nan
NOT200706382K,Nan
NOT220707775K,Nan
NOT220707777K,Nan
NOT220707779K,Nan
NOT220707780K,Nan
NOT220707781K,Nan
NOT220707782K,Nan
NOT220707783K,Nan
NOT220707784K,Nan
NOT220707688K,Nan
NOT180706153K,Nan
NOT220707869K,Nan
NOT200706419K,Nan
NOT180706136K,Nan
NOT220707689K,Nan
NOT220707677K,Nan
NOT220707771K,Nan
NOT220707768K,Nan
NOT180705978K,Nan
NOT220707754K,Nan
NOT220707833K,Nan
NOT220707755K,Nan
NOT220707785K,Nan
NOT220707756K,Nan
NOT220707657K,Nan
NOT220707767K,Nan
NOT220707694K,Nan
NOT220707753K,Nan
NOT200706400K,Nan
NOT220707769K,Nan
NOT220707870K,Nan
NOT220707752K,Nan
NOT220707697K,Nan
NOT220708014K,Nan
NOT220708133K,Nan
NOT220708068K,Nan
NOT180706494K,Nan
NOT220708069K,Nan
NOT220708070K,Nan
NOT220708094K,Nan
NOT220708083K,Nan
NOT220708067K,Nan
NOT220708084K,Nan
NOT220708036K,Nan
NOT220708091K,Nan
NOT220707896K,Nan
NOT220708086K,Nan
NOT220708090K,Nan
NOT220708123K,Nan
NOT220708089K,Nan
NOT220708028K,Nan
NOT220708087K,Nan
NOT220708088K,Nan
NOT180706496K,Nan
NOT180706502K,Nan
NOT220707965K,Nan
NOT180706495K,Nan
NOT220708118K,Nan
NOT220708048K,Nan
NOT220708040K,Nan
NOT220707950K,Nan
NOT220707993K,Nan
NOT220707992K,Nan
NOT220707991K,Nan
NOT220708131K,Nan
NOT220707967K,Nan
NOT220707989K,Nan
NOT220707990K,Nan
NOT180706458K,Nan
NOT220707988K,Nan
NOT220708121K,Nan
NOT220707984K,Nan
NOT220707982K,Nan
NOT220708128K,Nan
NOT220708060K,Nan
NOT220708027K,Nan
NOT220708026K,Nan
NOT220707986K,Nan
NOT220708071K,Nan
NOT220707996K,Nan
NOT220707998K,Nan
NOT220708077K,Nan
NOT220708073K,Nan
NOT220708075K,Nan
NOT220708079K,Nan
NOT220708081K,Nan
NOT220708038K,Nan
NOT220708130K,Nan
NOT220708042K,Nan
NOT220708046K,Nan
NOT220708002K,Nan
NOT220708044K,Nan
NOT220708001K,Nan
NOT220708000K,Nan
NOT220708043K,Nan
NOT220707999K,Nan
NOT220707923K,Nan
NOT220708037K,Nan
NOT220708092K,Nan
NOT220708003K,Nan
NOT220708082K,Nan
NOT220708062K,Nan
NOT220707964K,Nan
NOT220707962K,Nan
NOT220707955K,Nan
NOT220707953K,Nan
NOT220708135K,Nan
NOT220707960K,Nan
NOT220708063K,Nan
NOT220707959K,Nan
NOT220708010K,Nan
NOT220708032K,Nan
NOT220707958K,Nan
NOT220707939K,Nan
NOT220707945K,Nan
NOT200706578K,Nan
NOT220708030K,Nan
NOT220707946K,Nan
NOT220707943K,Nan
NOT220708061K,Nan
NOT220708007K,Nan
NOT200706576K,Nan
NOT220707921K,Nan
NOT180706423K,Nan
NOT180706634K,Nan
NOT180706615K,Nan
NOT220708143K,Nan
NOT180706457K,Nan
NOT220708011K,Nan
NOT180706424K,Nan
NOT220708066K,Nan
NOT220708055K,Nan
NOT220708064K,Nan
NOT220708065K,Nan
NOT220708058K,Nan
NOT220708034K,Nan
NOT220707972K,Nan
NOT180706426K,Nan
NOT220707933K,Nan
NOT220707920K,Nan
NOT220708012K,Nan
NOT200706571K,Nan
NOT200706573K,Nan
NOT180706422K,Nan
NOT180706572K,Nan
