notif_no,product,holder,manufacturer,substance_detected,Description
NOT200603276K, DELUXE BEAUTY - ULTRA LIGHTENING CREAM PEARL PERFECT FAIRNESS,LUNA GROUP SDN. BHD.,ROYAL INTERNATIONAL.,MERCURY,"【MERCURY】Ingredient's risk: Toxic heavy metal that damages kidneys, nervous system, and brain. Can cause tremors, memory loss, and kidney failure. Common uses: Illegally used in skin lightening and whitening products for quick results. Banned / monitored: Completely banned in cosmetics worldwide due to severe toxicity and bioaccumulation in human body."
NOT180503436K,3RD SERIES YANKO FADE OUT CREAM DAY CREAM,LURVEYA SDN. BHD.,"Taiwan Biotech Co., Ltd.",MERCURY,"【MERCURY】Ingredient's risk: Toxic heavy metal that damages kidneys, nervous system, and brain. Can cause tremors, memory loss, and kidney failure. Common uses: Illegally used in skin lightening and whitening products for quick results. Banned / monitored: Completely banned in cosmetics worldwide due to severe toxicity and bioaccumulation in human body."
NOT180503437K,3RD SERIES YANKO WHITENING CREAM NIGHT CREAM,LURVEYA SDN. BHD.,"Taiwan Biotech Co., Ltd.",TRETNON,"【TRETINOIN】Ingredient's risk: Severe skin irritation, increased sun sensitivity, birth defects if used during pregnancy. Can cause peeling, redness, and chemical burns. Common uses: Acne treatment, anti-aging and wrinkle reduction creams. Banned / monitored: Prescription-only medication in most countries, not allowed in over-the-counter cosmetics."
NOT180503439K,5TH SERIES YANKO FADE OUT CREAM DAY CREAM,LURVEYA SDN. BHD.,"Taiwan Biotech Co., Ltd.",MERCURY,"【MERCURY】Ingredient's risk: Toxic heavy metal that damages kidneys, nervous system, and brain. Can cause tremors, memory loss, and kidney failure. Common uses: Illegally used in skin lightening and whitening products for quick results. Banned / monitored: Completely banned in cosmetics worldwide due to severe toxicity and bioaccumulation in human body."
NOT180503440K,5TH SERIES YANKO WHITENING CREAM NIGHT CREAM,LURVEYA SDN. BHD.,"Taiwan Biotech Co., Ltd.",TRETNON,"【TRETINOIN】Ingredient's risk: Severe skin irritation, increased sun sensitivity, birth defects if used during pregnancy. Can cause peeling, redness, and chemical burns. Common uses: Acne treatment, anti-aging and wrinkle reduction creams. Banned / monitored: Prescription-only medication in most countries, not allowed in over-the-counter cosmetics."
NOT180503441K,7TH SERIES YANKO WHITENING CREAM DAY,LURVEYA SDN. BHD.,"Taiwan Biotech Co., Ltd.",MERCURY,"【MERCURY】Ingredient's risk: Toxic heavy metal that damages kidneys, nervous system, and brain. Can cause tremors, memory loss, and kidney failure. Common uses: Illegally used in skin lightening and whitening products for quick results. Banned / monitored: Completely banned in cosmetics worldwide due to severe toxicity and bioaccumulation in human body."
NOT180503442K,7TH SERIES YANKO WHITENING CREAM NIGHT,LURVEYA SDN. BHD.,"Taiwan Biotech Co., Ltd.",TRETNON,"【TRETINOIN】Ingredient's risk: Severe skin irritation, increased sun sensitivity, birth defects if used during pregnancy. Can cause peeling, redness, and chemical burns. Common uses: Acne treatment, anti-aging and wrinkle reduction creams. Banned / monitored: Prescription-only medication in most countries, not allowed in over-the-counter cosmetics."
NOT221004660K,ABYRA SEAWEED SKIN CARE- SEAWEED CELL RENEWAL NIGHT CREAM,ABYRA STAR EMPIRE,"NEOCOSMED CO., LTD",MERCURY,"【MERCURY】Ingredient's risk: Toxic heavy metal that damages kidneys, nervous system, and brain. Can cause tremors, memory loss, and kidney failure. Common uses: Illegally used in skin lightening and whitening products for quick results. Banned / monitored: Completely banned in cosmetics worldwide due to severe toxicity and bioaccumulation in human body."
NOT181003521K,AILISI Acne Purifying Cream,Ai Li Si Beauty Enterprise,"TAIWAN LADIES COSMETICS CO., LTD.",CLINDAMYCIN,"【CLINDAMYCIN】Ingredient's risk: Contributes to antibiotic resistance, can cause severe diarrhea and colitis, allergic reactions. Common uses: Topical acne treatment products. Banned / monitored: Prescription-only antibiotic, not allowed in cosmetic products without medical oversight."
NOT220202802K,AIREE BEAUTYCARE NIGHT CREAM,EVONIZ COSMETIC INDUSTRIES,Yamni Industry,MERCURY,"【MERCURY】Ingredient's risk: Toxic heavy metal that damages kidneys, nervous system, and brain. Can cause tremors, memory loss, and kidney failure. Common uses: Illegally used in skin lightening and whitening products for quick results. Banned / monitored: Completely banned in cosmetics worldwide due to severe toxicity and bioaccumulation in human body."
